Tutorial Group,Student ID,School,Name,Gender,CGPA
G-1,995,CoB (NBS),Patrick Adams,Male,4.07
G-1,907,SPMS,Lauren Walters,Female,3.94
G-1,4761,NIE,Randall Allen,Male,3.85
G-1,3200,WKW SCI,Christopher Harvey,Male,4.04
G-1,4028,NIE,David Ramos,Male,4.03
G-1,179,ASE,Michelle Mccoy,Female,3.75
G-1,1679,CCDS,Carol Bell,Female,3.94
G-1,5711,MAE,Erin Smith,Female,3.92
G-1,239,MAE,Monica Anderson,Female,3.98
G-1,1799,CoB (NBS),George Huynh,Male,3.84
G-1,3559,MAE,Mary Donovan,Female,3.94
G-1,4948,WKW SCI,Jessica Anderson,Female,4.0
G-1,1757,CoB (NBS),Sarah Jefferson,Female,3.92
G-1,2091,WKW SCI,Taylor Smith,Female,4.01
G-1,2115,CCDS,Dawn Ingram,Female,4.01
G-1,2661,SBS,Haley Warner,Female,4.02
G-1,5579,SPMS,Audrey Adams,Female,3.85
G-1,4581,SPMS,Tammy Oliver,Female,3.94
G-1,2041,CCDS,Mrs. April Martinez,Female,4.01
G-1,1329,CoB (NBS),Jacob Glenn,Male,3.83
G-1,5820,NIE,Deborah Davis,Female,3.91
G-1,1007,WKW SCI,Mrs. Tina Ellison MD,Female,4.14
G-1,3182,EEE,Phillip Sanchez,Male,4.04
G-1,2009,ASE,Courtney Parker,Female,3.92
G-1,3217,CoB (NBS),Martha Mcintosh,Female,4.24
G-1,936,NIE,Jared Wells,Male,4.01
G-1,4788,EEE,Christina Harrison,Female,4.11
G-1,3108,NIE,Cynthia Moses,Female,4.08
G-1,204,SBS,Jessica Stewart,Female,4.0
G-1,1020,SPMS,Charles Martinez,Male,4.07
G-1,4047,SSS,Victoria Bennett,Female,3.95
G-1,2153,CCDS,Sean Blevins,Male,3.95
G-1,5838,SoH,Sean Lee,Male,4.01
G-1,4397,ASE,Nicholas Poole,Male,3.79
G-1,2564,ADM,Lorraine Higgins,Female,4.02
G-1,3219,NIE,Matthew Clark,Male,3.88
G-1,4789,CoE,Gregory Chavez,Male,4.02
G-1,299,CCEB,Thomas Bartlett,Male,4.08
G-1,604,SBS,Joe Bradley,Male,3.85
G-1,2199,CCEB,Lynn Henry,Female,3.94
G-1,1628,SoH,Lauren Wilson,Female,4.09
G-1,4680,SBS,Ryan Ruiz,Male,4.01
G-1,5173,ASE,Christopher Harper,Male,4.19
G-1,379,SSS,Douglas Serrano,Male,4.19
G-1,2809,SBS,Andrew Parrish,Male,3.96
G-1,5132,SPMS,Valerie Scott,Female,3.89
G-1,694,MAE,Savannah Jones,Female,4.06
G-1,1323,SSS,Dwayne Martinez,Male,4.08
G-1,2365,NIE,Karen Davis,Female,4.01
G-1,3179,NIE,Paul Cook,Male,3.83
G-2,3502,SSS,Stephen Harvey,Male,3.98
G-2,5686,ASE,William Elliott,Male,4.11
G-2,3396,CCEB,Ashley Johnson,Female,4.01
G-2,2326,ASE,Emily Ayala,Female,4.06
G-2,2985,NIE,Carol Moore,Female,3.97
G-2,5028,SoH,Christy Smith,Female,4.2
G-2,4738,EEE,Rodney Evans,Male,4.07
G-2,2409,NIE,Brandon Ortiz,Male,3.84
G-2,4359,WKW SCI,Bradley Page,Male,3.95
G-2,5343,MAE,Ricky Armstrong,Male,4.03
G-2,4616,ASE,Cameron Adams,Male,4.07
G-2,2455,CCEB,Shannon Benson,Male,4.17
G-2,4675,CCDS,Denise Burton,Female,3.97
G-2,2087,EEE,Sandra Parker,Female,3.94
G-2,4385,SoH,Garrett Ray,Male,3.9
G-2,4175,NIE,Joseph Murphy,Male,4.09
G-2,2425,CoB (NBS),Michelle Jones,Female,4.01
G-2,567,SSS,Patrick Arnold,Male,4.16
G-2,4280,MAE,Mrs. Michele Mcbride MD,Female,4.11
G-2,2145,WKW SCI,Melissa Ross,Female,4.01
G-2,974,NIE,Lisa Hall,Female,4.03
G-2,1698,SPMS,Linda Anderson,Female,4.18
G-2,5963,CoB (NBS),Christopher Rodriguez,Male,3.86
G-2,5218,SPMS,Nicole Gutierrez,Female,4.02
G-2,736,MAE,Stephanie Hudson,Female,3.92
G-2,4420,CCEB,Norma Jackson,Female,3.83
G-2,746,CCEB,Zachary Oneill,Male,3.97
G-2,111,SBS,Theresa Patterson,Female,3.98
G-2,3962,CCDS,Ryan Garcia,Male,3.88
G-2,5370,SBS,Anthony Vaughn,Male,4.03
G-2,5780,SBS,Jason Franklin,Male,4.11
G-2,5586,CoE,David Nielsen,Male,3.95
G-2,2532,ASE,Judith Johns,Female,3.79
G-2,5478,EEE,Annette Myers,Female,4.0
